event_time,event_type,wallet_value,cash,locked_stake
2026-04-02 04:33:03+00:00,resolution,1156.8466198776177,469.42789414984554,687.4187257277723
2026-04-02 04:52:41+00:00,resolution,1206.7279373118804,551.8763527188747,654.8515845930058
2026-04-02 04:53:49+00:00,resolution,1167.6155780743884,551.8763527188747,615.7392253555137
2026-04-02 05:21:53+00:00,resolution,1216.0392971461974,630.614107307182,585.4251898390153
2026-04-02 05:23:41+00:00,resolution,1278.67944701923,710.410476572192,568.2689704470381
2026-04-02 05:26:45+00:00,resolution,1285.9278535286023,821.9244228702253,464.003430658377
2026-04-02 05:33:37+00:00,resolution,1273.5152892680474,821.9244228702253,451.5908663978221
2026-04-02 05:45:39+00:00,resolution,1288.503891319623,848.9309130532444,439.57297826637864
2026-04-02 05:49:51+00:00,resolution,1272.0851897131315,848.9309130532444,423.1542766598873
2026-04-02 05:57:09+00:00,resolution,1370.9576843403104,964.5712576464358,406.3864266938745
2026-04-02 06:25:23+00:00,resolution,1428.9051100058955,1058.794714013241,370.1103959926545
2026-04-02 06:34:35+00:00,resolution,1442.6242599780876,1084.926428245988,357.6978317320996
2026-04-02 06:36:33+00:00,resolution,1451.0782226636547,1197.6459307202163,253.43229194343846
2026-04-02 06:42:37+00:00,resolution,1465.9732997763208,1316.8065476215434,149.16675215477733
2026-04-02 06:49:29+00:00,resolution,1440.6915217339197,1316.8065476215434,123.8849741123762
2026-04-02 07:17:27+00:00,resolution,1400.8252859323727,1316.8065476215434,84.01873831082929
2026-04-02 07:26:05+00:00,resolution,1360.0738147894717,1316.8065476215434,43.26726716792831
2026-04-02 09:18:03+00:00,resolution,1414.7927232992502,1393.3364895932614,21.45623370598869
2026-04-02 11:15:55+00:00,resolution,1393.3364895932614,1393.3364895932614,0.0
2026-04-02 21:00:00+00:00,entry,1393.3364895932614,1377.2765698006522,16.059919792609158
2026-04-02 21:00:00+00:00,entry,1393.3364895932614,1362.915719116925,30.420770476336436
2026-04-02 21:00:00+00:00,entry,1393.3364895932614,1337.5562294368278,55.78026015643358
2026-04-02 21:00:00+00:00,entry,1393.3364895932616,1298.394405025183,94.94208456807851
2026-04-02 21:00:00+00:00,entry,1393.3364895932616,1275.4679553556548,117.86853423760671
2026-04-02 21:00:00+00:00,entry,1393.3364895932614,1253.0181470513974,140.31834254186404
2026-04-02 21:00:00+00:00,entry,1393.3364895932614,1193.7100140310404,199.6264755622211
2026-04-02 21:00:00+00:00,entry,1393.3364895932614,1183.713670562656,209.6228190306054
2026-04-02 21:00:00+00:00,entry,1393.3364895932614,1131.4464714188748,261.8900181743866
2026-04-02 21:00:00+00:00,entry,1393.3364895932614,1109.5055922881115,283.83089730514985
2026-04-02 21:00:00+00:00,entry,1393.3364895932614,1084.886232695763,308.4502568974984
2026-04-02 21:00:00+00:00,entry,1393.3364895932614,1068.2988935339386,325.03759605932294
2026-04-02 21:00:00+00:00,entry,1393.3364895932614,1051.8286139286547,341.50787566460673
2026-04-02 21:00:00+00:00,entry,1393.3364895932614,1001.6236616761074,391.7128279171541
2026-04-02 21:00:00+00:00,entry,1393.3364895932614,958.6315119270868,434.7049776661747
2026-04-02 21:00:00+00:00,entry,1393.3364895932614,945.2340456809977,448.10244391226377
2026-04-02 21:00:00+00:00,entry,1393.3364895932616,930.0662120099913,463.27027758327023
2026-04-02 21:00:00+00:00,entry,1393.3364895932616,911.3385710208346,481.99791857242695
2026-04-02 21:00:00+00:00,entry,1393.3364895932614,862.7954841192487,530.5410054740128
2026-04-02 21:00:00+00:00,entry,1393.3364895932614,800.3717221025876,592.9647674906739
2026-04-02 21:00:00+00:00,entry,1393.3364895932614,757.5938474220927,635.7426421711688
2026-04-02 21:00:00+00:00,entry,1393.3364895932614,738.5671936776469,654.7692959156146
2026-04-02 21:00:00+00:00,entry,1393.3364895932614,599.2335447183207,794.1029448749408
2026-04-02 21:00:00+00:00,entry,1393.3364895932614,541.3123080620005,852.024181531261
2026-04-02 21:00:00+00:00,entry,1393.3364895932614,488.0376775775523,905.2988120157091
2026-04-02 21:00:00+00:00,entry,1393.3364895932616,348.7040286182262,1044.6324609750354
2026-04-02 21:00:00+00:00,entry,1393.3364895932616,318.1484038464441,1075.1880857468175
2026-04-02 21:00:00+00:00,entry,1393.3364895932616,291.12877590359784,1102.2077136896637
2026-04-02 21:00:00+00:00,entry,1393.3364895932614,264.86745515379596,1128.4690344394655
2026-04-02 21:00:00+00:00,entry,1393.3364895932616,248.8075353611868,1144.5289542320747
2026-04-02 21:00:00+00:00,entry,1393.3364895932616,109.47388640186065,1283.862603191401
2026-04-02 21:00:00+00:00,entry,1393.3364895932614,93.00360679657686,1300.3328827966845
2026-04-02 21:00:00+00:00,entry,1393.3364895932614,80.89933227308329,1312.4371573201781
2026-04-02 21:00:00+00:00,entry,1393.3364895932616,30.694380020535966,1362.6421095727255
2026-04-02 21:00:00+00:00,entry,1393.3364895932616,10.977354224404888,1382.3591353688566
2026-04-02 21:00:00+00:00,entry,1393.3364895932614,0.0,1393.3364895932614
2026-04-03 04:04:55+00:00,resolution,1377.2765698006524,0.0,1377.2765698006524
2026-04-03 04:30:53+00:00,resolution,1419.232780621738,56.31706150481285,1362.915719116925
2026-04-03 04:31:47+00:00,resolution,1393.8732909416408,56.31706150481285,1337.5562294368278
2026-04-03 04:36:01+00:00,resolution,1354.711466529996,56.31706150481285,1298.394405025183
2026-04-03 04:43:03+00:00,resolution,1331.7850168604677,56.31706150481285,1275.4679553556548
2026-04-03 05:38:43+00:00,resolution,1359.7842159815077,106.76606893011024,1253.0181470513974
2026-04-03 05:49:13+00:00,resolution,1300.4760829611505,106.76606893011024,1193.7100140310404
2026-04-03 06:19:29+00:00,resolution,1290.4797394927664,106.76606893011024,1183.713670562656
2026-04-03 06:49:47+00:00,resolution,1238.212540348985,106.76606893011024,1131.4464714188748
2026-04-03 06:55:55+00:00,resolution,1216.2716612182217,106.76606893011024,1109.5055922881115
2026-04-03 07:01:01+00:00,resolution,1191.6523016258734,106.76606893011024,1084.886232695763
2026-04-03 07:01:03+00:00,resolution,1209.9856764889425,141.68678295500405,1068.2988935339386
2026-04-03 07:09:15+00:00,resolution,1193.5153968836587,141.68678295500405,1051.8286139286547
2026-04-03 07:32:51+00:00,resolution,1280.858259021652,279.23459734554467,1001.6236616761074
2026-04-03 07:32:53+00:00,resolution,1351.0033454542647,392.371833527178,958.6315119270868
2026-04-03 07:32:59+00:00,resolution,1365.5172672208614,420.2832215398636,945.2340456809977
2026-04-03 07:47:21+00:00,resolution,1350.349433549855,420.2832215398636,930.0662120099912
2026-04-03 09:59:39+00:00,resolution,1331.621792560698,420.2832215398636,911.3385710208345
2026-04-03 11:32:41+00:00,resolution,1519.8742515205067,657.0787674012579,862.7954841192487
2026-04-03 12:37:41+00:00,resolution,1633.2920726493699,832.9203505467823,800.3717221025876
2026-04-03 12:59:09+00:00,resolution,1590.514197968875,832.9203505467823,757.5938474220926
2026-04-03 13:03:45+00:00,resolution,1614.7299390981698,876.1627454205228,738.5671936776469
2026-04-03 13:25:25+00:00,resolution,1475.3962901388436,876.1627454205228,599.2335447183207
2026-04-03 13:25:31+00:00,resolution,1576.16337308888,1034.8510650268795,541.3123080620005
2026-04-03 14:02:07+00:00,resolution,1522.8887426044319,1034.8510650268795,488.0376775775523
2026-04-03 14:04:59+00:00,resolution,1548.4469859046633,1199.742957286437,348.7040286182261
2026-04-03 14:24:03+00:00,resolution,1640.1138602200094,1321.9654563735653,318.14840384644407
2026-04-03 15:30:49+00:00,resolution,1744.8972954129986,1453.7685195094007,291.12877590359784
2026-04-03 15:33:45+00:00,resolution,1819.641054470127,1554.773599316331,264.86745515379596
2026-04-03 15:34:01+00:00,resolution,1839.6708420766395,1590.8633067154526,248.8075353611868
2026-04-03 15:37:57+00:00,resolution,1700.3371931173133,1590.8633067154526,109.47388640186065
2026-04-03 19:16:31+00:00,resolution,1683.8669135120294,1590.8633067154526,93.00360679657686
2026-04-03 19:17:27+00:00,resolution,1671.7626389885359,1590.8633067154526,80.89933227308329
2026-04-03 21:00:00+00:00,entry,1671.7626389885359,1423.687042816599,248.07559617193687
2026-04-03 21:00:00+00:00,entry,1675.785826086972,1427.3079112051917,248.47791488178052
2026-04-03 21:00:00+00:00,entry,1675.7858260869723,1259.7293285964945,416.05649749047774
