market_id,entry_time,end_time,closed_time,resolution_time,side,stake,settle_value,pnl,market_price,model_prob,edge,kelly_raw,bet_fraction,sizing_method,cash_before_entry,wallet_before_entry,outcome_yes,cash_after_resolution,roi_on_stake
1702396,2026-04-02 21:00:00+00:00,2026-04-02 23:00:00+00:00,2026-04-03 11:32:41+00:00,2026-04-03 11:32:41+00:00,NO,48.54308690158583,236.79554586139434,188.2524589598085,0.795,0.6842105263157895,-0.11078947368421055,0.13935782853359815,0.03483945713339954,fractional_kelly,911.3385710208346,1393.3364895932616,0,657.0787674012579,3.8780487804878057
1828882,2026-04-02 21:00:00+00:00,2026-04-02 23:00:00+00:00,2026-04-03 12:37:41+00:00,2026-04-03 12:37:41+00:00,NO,62.423762016661165,175.84158314552442,113.41782112886327,0.645,0.5294117647058824,-0.11558823529411766,0.17920656634746923,0.04480164158686731,fractional_kelly,862.7954841192487,1393.3364895932614,0,832.9203505467823,1.8169014084507047
1702397,2026-04-02 21:00:00+00:00,2026-04-02 23:00:00+00:00,2026-04-03 12:59:09+00:00,2026-04-03 12:59:09+00:00,NO,42.77787468049487,0.0,-42.77787468049487,0.78,0.6842105263157895,-0.09578947368421054,0.12280701754385966,0.030701754385964914,fractional_kelly,800.3717221025876,1393.3364895932614,1,832.9203505467823,-1.0
1640192,2026-04-02 21:00:00+00:00,2026-04-02 23:00:00+00:00,2026-04-03 13:03:45+00:00,2026-04-03 13:03:45+00:00,NO,19.026653744445824,43.242394873740515,24.215741129294692,0.56,0.5294117647058824,-0.030588235294117694,0.054621848739495875,0.013655462184873969,fractional_kelly,757.5938474220927,1393.3364895932614,0,876.1627454205228,1.2727272727272732
1702395,2026-04-02 21:00:00+00:00,2026-04-02 23:00:00+00:00,2026-04-03 13:25:25+00:00,2026-04-03 13:25:25+00:00,YES,139.33364895932615,0.0,-139.33364895932615,0.855,1.0,0.14500000000000002,1.0,0.1,fractional_kelly,738.5671936776469,1393.3364895932614,0,876.1627454205228,-1.0
1702399,2026-04-02 21:00:00+00:00,2026-04-02 23:00:00+00:00,2026-04-03 13:25:31+00:00,2026-04-03 13:25:31+00:00,NO,57.921236656320154,158.6883196063566,100.76708295003644,0.635,0.5294117647058824,-0.10558823529411765,0.1662806855025475,0.04157017137563687,fractional_kelly,599.2335447183207,1393.3364895932614,0,1034.8510650268795,1.7397260273972603
1832722,2026-04-02 21:00:00+00:00,2026-04-02 23:00:00+00:00,2026-04-03 14:02:07+00:00,2026-04-03 14:02:07+00:00,NO,53.274630484448224,0.0,-53.274630484448224,0.625,0.5294117647058824,-0.09558823529411764,0.15294117647058822,0.038235294117647055,fractional_kelly,541.3123080620005,1393.3364895932614,1,1034.8510650268795,-1.0
1830757,2026-04-02 21:00:00+00:00,2026-04-02 23:00:00+00:00,2026-04-03 14:04:59+00:00,2026-04-03 14:04:59+00:00,YES,139.33364895932615,164.89189225955758,25.558243300231425,0.845,1.0,0.15500000000000003,1.0,0.1,fractional_kelly,488.0376775775523,1393.3364895932614,1,1199.742957286437,0.1834319526627219
1702419,2026-04-02 21:00:00+00:00,2026-04-02 23:00:00+00:00,2026-04-03 14:24:03+00:00,2026-04-03 14:24:03+00:00,NO,30.555624771782046,122.22249908712818,91.66687431534613,0.75,0.6842105263157895,-0.06578947368421051,0.08771929824561402,0.021929824561403504,fractional_kelly,348.7040286182262,1393.3364895932616,0,1321.9654563735653,3.0
1520653,2026-04-02 21:00:00+00:00,2026-04-02 23:00:00+00:00,2026-04-03 15:30:49+00:00,2026-04-03 15:30:49+00:00,YES,27.01962794284627,131.80306313583546,104.78343519298919,0.205,0.26666666666666666,0.061666666666666675,0.07756813417190776,0.01939203354297694,fractional_kelly,318.1484038464441,1393.3364895932616,1,1453.7685195094007,3.8780487804878048
