category,horizon_min,prob_bin,n,predicted_mean,observed_yes_rate,volume_mean
Crypto,180,"[0.0,0.1)",214,0.008635514018691589,0.0,770789.833169256
Crypto,180,"[0.1,0.2)",18,0.14619444444444443,0.05555555555555555,250305.5184027776
Crypto,180,"[0.2,0.3)",11,0.2377272727272727,0.45454545454545453,300411.36980900005
Crypto,180,"[0.3,0.4)",7,0.34121428571428575,0.42857142857142855,239309.89605142866
Crypto,180,"[0.4,0.5)",55,0.48463636363636364,0.6,161076.7138363272
Crypto,180,"[0.5,0.6)",2589,0.504169370413287,0.5013518733101584,140630.8689789983
Crypto,180,"[0.6,0.7)",5,0.654,0.8,344940.5890308003
Crypto,180,"[0.7,0.8)",7,0.75,0.5714285714285714,403883.524870143
Crypto,180,"[0.8,0.9)",7,0.8538571428571429,0.7142857142857143,384303.59018457116
Crypto,180,"[0.9,1.0]",68,0.9867426470588235,1.0,592004.6114379566
Culture,180,"[0.0,0.1)",137,0.007992700729927008,0.0,521334.274149773
Culture,180,"[0.1,0.2)",6,0.15266666666666667,0.3333333333333333,1005779.1221806634
Culture,180,"[0.2,0.3)",3,0.21916666666666665,0.0,1030496.9992089994
Culture,180,"[0.3,0.4)",5,0.3202,0.2,514038.26516839984
Culture,180,"[0.4,0.5)",3,0.43,0.3333333333333333,416508.0843900011
Culture,180,"[0.5,0.6)",7,0.5555714285714286,0.8571428571428571,1056842.6954282841
Culture,180,"[0.6,0.7)",3,0.6481666666666667,1.0,704800.1082083326
Culture,180,"[0.7,0.8)",2,0.71225,0.5,425624.29505149974
Culture,180,"[0.9,1.0]",7,0.9828571428571429,1.0,185889.16751471418
Economy,180,"[0.0,0.1)",66,0.00275,0.0,4396786.013394473
Economy,180,"[0.1,0.2)",1,0.19,0.0,115256.003502
Economy,180,"[0.3,0.4)",3,0.35833333333333334,1.0,381537.15563266695
Economy,180,"[0.4,0.5)",5,0.48599999999999993,0.6,252652.5157967999
Economy,180,"[0.5,0.6)",4,0.5325,0.5,217576.66442775007
Economy,180,"[0.6,0.7)",3,0.625,0.0,208611.56050966648
Economy,180,"[0.9,1.0]",7,0.9950714285714286,1.0,685809.1548461441
Politics,180,"[0.0,0.1)",122,0.01012704918032787,0.00819672131147541,2186626.1475162045
Politics,180,"[0.1,0.2)",7,0.13107142857142856,0.14285714285714285,765226.0486677133
Politics,180,"[0.2,0.3)",5,0.23570000000000002,0.4,965474.2879122002
Politics,180,"[0.4,0.5)",3,0.4046666666666667,0.3333333333333333,3125263.3123073317
Politics,180,"[0.5,0.6)",2,0.53725,0.5,144874.4009074999
Politics,180,"[0.6,0.7)",2,0.625,1.0,1206909.6179465048
Politics,180,"[0.7,0.8)",2,0.76225,0.5,6411079.6321870005
Politics,180,"[0.8,0.9)",1,0.815,1.0,137119.05110599997
Politics,180,"[0.9,1.0]",14,0.9805,1.0,2023665.2530817208
Science,180,"[0.0,0.1)",1,0.002,0.0,182372.520717
Science,180,"[0.1,0.2)",1,0.134,0.0,220988.61608399983
Sports,180,"[0.0,0.1)",185,0.012243243243243244,0.010810810810810811,454294.7650876919
Sports,180,"[0.1,0.2)",59,0.15450847457627118,0.2542372881355932,849310.143649132
Sports,180,"[0.2,0.3)",103,0.2537378640776699,0.30097087378640774,741058.6018862332
Sports,180,"[0.3,0.4)",140,0.34929642857142856,0.4,831253.5900556849
