horizon_min,volume_bucket,n,mean_abs_isotonic_gap,median_abs_isotonic_gap,mean_signed_isotonic_gap,share_positive_isotonic_gap,decile_volume_min,decile_volume_max
720,Decile 4,424,0.010366653583250921,0.0073696682464455265,0.0027285332922064843,0.8466981132075472,121541.09607099954,137630.0209789996
720,Decile 5,424,0.009576690587141985,0.0073696682464455265,0.0021869641009883783,0.8349056603773585,137667.84533399984,158616.34742299982
720,Decile 6,424,0.011416495275305963,0.0073696682464455265,-0.00037418971910799855,0.7617924528301887,158630.90700199956,192919.329442
720,Decile 7,424,0.011928336673779114,0.0073696682464455265,-0.0012424615770258859,0.7004716981132075,192977.85709999988,262579.23607300007
720,Decile 8,424,0.01554901162103002,0.0073696682464455265,-0.003683705136795364,0.6132075471698113,262892.377741,437908.3160499996
720,Decile 9,424,0.018179455498580018,0.009582300769531735,-0.004280786868945148,0.5094339622641509,438614.8761360003,831904.7844009999
720,Decile 10 (highest),424,0.021727805294712462,0.012491486068111471,-0.008048249414901,0.5070754716981132,832251.2136810008,172972056.63332495
780,Decile 1 (lowest),411,0.011723651918626479,0.004432463110102147,-0.0026973828578368522,0.6228710462287105,88437.42444700007,98655.67740600005
780,Decile 2,410,0.009952409799566648,0.004432463110102147,-0.0028230541302077953,0.5878048780487805,98677.79200199986,109252.61061299988
780,Decile 3,411,0.008934739706991232,0.004432463110102147,0.0012171213059898004,0.6958637469586375,109260.65065399976,122457.71500600011
780,Decile 4,410,0.009544354838985806,0.004432463110102147,-0.00015165094061695423,0.7268292682926829,122535.02805799992,139202.78667299985
780,Decile 5,411,0.007905633507272643,0.004432463110102147,0.0007223686890955878,0.7274939172749392,139223.44199499948,161654.65302799968
780,Decile 6,410,0.009304514243530872,0.004432463110102147,-0.0007509222027227635,0.7121951219512195,161699.7113899996,197819.1793090006
780,Decile 7,410,0.010603052410308728,0.004432463110102147,-0.0006860109504335435,0.697560975609756,198024.65649500024,274563.17174700013
780,Decile 8,411,0.015078839939208494,0.004444444444444473,-0.002271375759581424,0.6204379562043796,274615.73146899947,456201.4541629996
780,Decile 9,410,0.018813513133017917,0.009444444444444366,-0.0034440724077929733,0.5682926829268292,456573.6833619997,865917.6856070015
780,Decile 10 (highest),411,0.021815834517939753,0.009444444444444366,-0.005502747535751466,0.5912408759124088,866068.6099170005,172972056.63332495
840,Decile 1 (lowest),396,0.010782189212407794,0.001265873015873025,-0.004713452653581187,0.6111111111111112,88437.42444700007,98856.11014199998
840,Decile 2,396,0.010229353551734498,0.0019090909090908595,-0.005645671118996816,0.5681818181818182,98898.36649399994,110092.96475399996
840,Decile 3,396,0.008679256741333108,0.0010317460317460503,-0.0017760076066220445,0.6818181818181818,110093.95278400031,124101.774274
840,Decile 4,395,0.008380984360014613,0.0010317460317460503,-0.002938763100269093,0.7113924050632912,124133.521961,141563.63517099977
840,Decile 5,396,0.007303888974110626,0.0010317460317460503,-0.002819231327386611,0.6994949494949495,141644.2596690001,165236.29622600003
840,Decile 6,396,0.009123434964656934,0.0010317460317460503,-0.0028868566680704984,0.6843434343434344,165289.25444799982,203022.50008399977
840,Decile 7,395,0.010720876725749569,0.0015,-0.0029564482178139812,0.6430379746835443,203115.647382,286890.2253650003
840,Decile 8,396,0.016834589321927447,0.008019480519480537,-0.00262976186403613,0.5681818181818182,287042.5274590001,471131.89679199824
840,Decile 9,396,0.02049472198293782,0.012197478991596645,-0.0055886092611515245,0.5050505050505051,471793.413623,906728.6081650036
840,Decile 10 (highest),396,0.02041402415385457,0.011718614718614673,-0.005807559826814648,0.553030303030303,907443.8153769994,172972056.63332495
