horizon_min,volume_bucket,n_rows,n_price_available,n_staleness_available,mean_staleness_min,median_staleness_min,p90_staleness_min,decile_volume_min,decile_volume_max
540,Decile 9,3000,443,443,869.2256207674944,9.35,1847.4900000000007,387838.113042,711162.203510001
540,Decile 10 (highest),3000,509,509,569.5428290766208,9.316666666666666,9.62,711337.070103,235065166.637259
600,Decile 1 (lowest),3000,579,579,205.89637305699483,9.283333333333331,9.566666666666666,88428.8872629999,100493.179272
600,Decile 2,3000,576,576,319.50159143518516,9.316666666666666,9.616666666666667,100494.427236,113333.845187
600,Decile 3,3000,506,506,422.4609025032938,9.316666666666666,19.15833333333333,113337.833364,128599.649061
600,Decile 4,3000,452,452,445.51611356932153,9.333333333333334,19.166666666666668,128612.266046,146338.090948
600,Decile 5,3000,469,469,489.09260838663823,9.35,19.183333333333334,146342.78853100023,170866.05737899995
600,Decile 6,3000,397,397,915.9475650713687,9.35,5357.180000000001,170884.843911,207390.394031
600,Decile 7,3000,321,321,1107.5697819314641,9.35,7699.516666666666,207390.49136199968,267325.838332
600,Decile 8,3000,329,329,1151.2289766970619,9.35,7363.353333333332,267391.98381600075,387725.630436
600,Decile 9,3000,440,440,868.5327651515152,9.366666666666667,1836.5800000000083,387838.113042,711162.203510001
600,Decile 10 (highest),3000,505,505,570.0288448844884,9.316666666666666,19.21,711337.070103,235065166.637259
660,Decile 1 (lowest),3000,547,547,215.04146861669713,9.35,9.566666666666666,88428.8872629999,100493.179272
660,Decile 2,3000,544,544,334.68210784313726,9.366666666666667,9.583333333333334,100494.427236,113333.845187
660,Decile 3,3000,471,471,449.33867657466385,9.4,9.6,113337.833364,128599.649061
660,Decile 4,3000,425,425,469.1469019607843,9.383333333333333,9.6,128612.266046,146338.090948
660,Decile 5,3000,455,455,499.0550549450549,9.383333333333333,9.616666666666667,146342.78853100023,170866.05737899995
660,Decile 6,3000,388,388,929.248324742268,9.416666666666666,5345.095000000001,170884.843911,207390.394031
660,Decile 7,3000,312,312,1129.4595085470085,9.383333333333333,7657.186666666667,207390.49136199968,267325.838332
660,Decile 8,3000,321,321,1168.5697819314641,9.383333333333333,7439.233333333334,267391.98381600075,387725.630436
660,Decile 9,3000,437,437,866.5332570556826,9.383333333333333,1887.5200000000127,387838.113042,711162.203510001
660,Decile 10 (highest),3000,503,503,566.4853876739563,9.366666666666667,9.616666666666667,711337.070103,235065166.637259
