horizon_min,volume_bucket,n,mean_abs_isotonic_gap,std_abs_isotonic_gap,mean_signed_isotonic_gap,share_positive_isotonic_gap,decile_volume_min,decile_volume_max,mean_abs_gap_ci95_low,mean_abs_gap_ci95_high,rank_abs_gap_within_horizon,is_lowest_abs_gap_within_horizon,is_highest_abs_gap_within_horizon
120,Decile 7,611,0.008334911321627335,0.018567069759321046,-0.0012960049884895566,0.723404255319149,166005.95907200046,202204.40109799893,0.00686267056821248,0.009807152075042189,6,False,False
120,Decile 8,611,0.015246502121544476,0.02533328193755061,-0.001186351758750489,0.6284779050736498,202226.31045900003,309488.0174829995,0.01323774734388298,0.01725525689920597,8,False,False
120,Decile 9,611,0.02132095019515591,0.027657409293053933,-0.002193333081581358,0.5220949263502455,310193.8803590002,635161.605063,0.019127908125355572,0.02351399226495625,9,False,False
120,Decile 10 (highest),612,0.02878811221469685,0.03175587851098919,-0.006386185581979981,0.5294117647058824,635706.7937249998,172972056.63332495,0.026272147812571582,0.03130407661682212,10,False,True
180,Decile 1 (lowest),593,0.010722378668462628,0.022085542395749655,-0.0016972192790540928,0.6475548060708263,88431.65343399995,97834.59638100016,0.00894476740190806,0.012499989935017197,7,False,False
180,Decile 2,593,0.008286114708680004,0.016368611038324415,-0.00011632287976908731,0.6745362563237775,97851.865916,107299.28898200011,0.006968645258385921,0.009603584158974087,3,False,False
180,Decile 3,593,0.008703673318914315,0.018006686591882017,0.0005935628474985803,0.6930860033726813,107303.22120899972,117806.81967100003,0.00725435917550407,0.010152987462324561,5,False,False
180,Decile 4,592,0.008340548917015678,0.01746143710034436,0.0018804596991453743,0.7449324324324325,117842.65623699996,130479.14139500004,0.006933934054681203,0.009747163779350154,4,False,False
180,Decile 5,593,0.007651802524119169,0.016482385804989244,0.0014852233566622606,0.7689713322091062,130484.53161500009,145985.3947259998,0.006325175621250503,0.008978429426987835,1,True,False
180,Decile 6,593,0.0076648774400812775,0.0164025979427757,0.0003898443956024378,0.730185497470489,146033.64603099987,166571.51606299993,0.006344672467010107,0.008985082413152448,2,False,False
