category,horizon_min,n,n_unique_markets,predicted_mean,observed_yes_rate,mae,brier,mean_signed_error,mean_volume
Technology,120,99,99,0.1606161616161616,0.23232323232323232,0.18213131313131312,0.11138087878787879,-0.0717070707070707,322999.41840355616
Economy,120,89,89,0.16479775280898876,0.16853932584269662,0.09519101123595505,0.04968846067415729,-0.003741573033707865,3359638.341085194
World,120,27,27,0.08725925925925926,0.1111111111111111,0.12285185185185186,0.06962507407407408,-0.023851851851851857,5820820.331206614
Science,120,2,2,0.0645,0.0,0.0645,0.00788125,0.0645,201680.56840049993
Crypto,180,2981,2981,0.4773659845689366,0.4766856759476686,0.45074538745387455,0.22511740858772222,0.0006803086212680341,199558.90082042015
Sports,180,1504,1504,0.4765658244680851,0.488031914893617,0.36123670212765957,0.1852462357047872,-0.011466090425531907,643827.1098251853
Uncategorized,180,896,896,0.4583236607142857,0.43638392857142855,0.4249854910714285,0.2150473917410714,0.021939732142857143,156991.19067919077
Culture,180,173,173,0.11385838150289018,0.12138728323699421,0.07410693641618496,0.03323757658959537,-0.007528901734104045,555106.6405986756
Politics,180,158,158,0.14516772151898735,0.1518987341772152,0.06854113924050632,0.034785096518987334,-0.006731012658227846,2090647.4279143421
Technology,180,98,98,0.1569438775510204,0.22448979591836735,0.1733112244897959,0.1034945637755102,-0.06754591836734694,325354.63128575566
Economy,180,89,89,0.16682022471910113,0.16853932584269662,0.09725842696629212,0.05229182022471909,-0.0017191011235955064,3359638.341085194
World,180,27,27,0.08192592592592592,0.1111111111111111,0.11896296296296296,0.06802396296296297,-0.029185185185185186,5820820.331206614
Science,180,2,2,0.068,0.0,0.068,0.00898,0.068,201680.56840049993
Crypto,240,2870,2870,0.47625,0.47735191637630664,0.448858362369338,0.22387628318815328,-0.001101916376306617,202352.58379806287
Sports,240,1473,1473,0.4734582484725051,0.48336727766463,0.36451934826883914,0.18743076849966053,-0.00990902919212491,647698.8828214804
Uncategorized,240,865,865,0.45713872832369945,0.4369942196531792,0.4221167630057803,0.2131510895953757,0.02014450867052023,158225.73055118026
Culture,240,173,173,0.11392196531791908,0.12138728323699421,0.07366763005780345,0.03172759393063583,-0.007465317919075145,555106.6405986756
Politics,240,158,158,0.14427848101265822,0.1518987341772152,0.06706962025316456,0.033757284810126575,-0.007620253164556959,2090647.4279143421
Technology,240,98,98,0.15287755102040815,0.22448979591836735,0.17777551020408164,0.10827320408163264,-0.07161224489795918,325354.63128575566
Economy,240,89,89,0.1653483146067416,0.16853932584269662,0.093876404494382,0.04789288764044943,-0.003191011235955052,3359638.341085194
World,240,27,27,0.0852962962962963,0.1111111111111111,0.12125925925925926,0.06868799999999999,-0.025814814814814808,5820820.331206614
Science,240,2,2,0.06425,0.0,0.06425,0.007879625,0.06425,201680.56840049993
Crypto,300,2733,2733,0.4749771313574826,0.47420417124039516,0.4468245517746066,0.22276116419685327,0.0007729601170874529,205869.21820977444
Sports,300,1441,1441,0.4708504510756419,0.4823039555863983,0.36269292158223454,0.18592445610687022,-0.011453504510756414,654924.6430424112
Uncategorized,300,827,827,0.4543089480048368,0.44256348246674726,0.4197962515114873,0.21193687031438938,0.011745465538089485,159899.86229859001
Culture,300,173,173,0.11348554913294798,0.12138728323699421,0.07748554913294797,0.03530779768786126,-0.007901734104046241,555106.6405986756
Politics,300,158,158,0.14524683544303799,0.1518987341772152,0.06950632911392404,0.03422898734177215,-0.006651898734177214,2090647.4279143421
Technology,300,97,97,0.14849484536082475,0.2268041237113402,0.17848453608247422,0.11013053092783504,-0.07830927835051546,327531.3654151449
Economy,300,89,89,0.16625842696629214,0.16853932584269662,0.09464044943820225,0.04838225280898876,-0.0022808988764044915,3359638.341085194
World,300,27,27,0.08433333333333334,0.1111111111111111,0.12562962962962962,0.0735157222222222,-0.026777777777777772,5820820.331206614
Science,300,2,2,0.06425,0.0,0.06425,0.007879625,0.06425,201680.56840049993
Crypto,360,2598,2598,0.4740598537336413,0.4745958429561201,0.445096805234796,0.2222711309661278,-0.0005359892224788269,209464.86747619114
Sports,360,1426,1426,0.4717507012622721,0.48106591865357645,0.3611384992987377,0.18506287920757364,-0.00931521739130434,657736.4278443791
Uncategorized,360,795,795,0.4529132075471698,0.44528301886792454,0.41632704402515724,0.20988510125786164,0.007630188679245286,160866.96200232446
Culture,360,173,173,0.11966184971098265,0.12138728323699421,0.08223410404624278,0.03798972109826589,-0.001725433526011559,555106.6405986756
Politics,360,158,158,0.14520569620253163,0.1518987341772152,0.06979430379746836,0.03403946677215189,-0.006693037974683544,2090647.4279143421
Technology,360,97,97,0.14850515463917524,0.2268041237113402,0.17916494845360822,0.11111354123711338,-0.07829896907216495,327531.3654151449
Economy,360,89,89,0.16512359550561798,0.16853932584269662,0.09334831460674158,0.04749199999999999,-0.003415730337078646,3359638.341085194
World,360,27,27,0.0816111111111111,0.1111111111111111,0.12761111111111112,0.07740237962962962,-0.029499999999999995,5820820.331206614
Science,360,2,2,0.07825,0.0,0.07825,0.011710624999999999,0.07825,201680.56840049993
Crypto,420,2466,2466,0.4718992295214923,0.4724249797242498,0.44238179237631786,0.22082619880373072,-0.000525750202757499,213408.2119879256
Sports,420,1411,1411,0.471053862508859,0.4805102763997165,0.3603401842664777,0.18472016052445073,-0.00945641389085754,660859.8226364214
Uncategorized,420,750,750,0.450184,0.43733333333333335,0.4116813333333333,0.207425192,0.012850666666666668,162481.0310353026
Culture,420,169,169,0.11081952662721893,0.11834319526627218,0.07456508875739645,0.03374080029585798,-0.007523668639053255,564136.4878535495
Politics,420,158,158,0.14422784810126582,0.1518987341772152,0.06947468354430379,0.03335513607594936,-0.007670886075949366,2090647.4279143421
