category,horizon_min,n,n_unique_markets,predicted_mean,observed_yes_rate,mae,brier,mean_signed_error,mean_volume
Politics,1260,158,158,0.1478006329113924,0.1518987341772152,0.07902848101265822,0.034873903481012644,-0.004098101265822781,2090647.4279143421
Technology,1260,97,97,0.14300000000000002,0.2268041237113402,0.18901030927835052,0.11897078350515464,-0.0838041237113402,327531.3654151449
Economy,1260,78,78,0.11882051282051283,0.1282051282051282,0.04161538461538461,0.0227108141025641,-0.009384615384615384,3800762.876816362
World,1260,27,27,0.09564814814814815,0.1111111111111111,0.11972222222222222,0.05995558333333331,-0.01546296296296296,5820820.331206614
Science,1260,2,2,0.073,0.0,0.073,0.01008999999999995,0.073,201680.56840049993
Sports,1320,1262,1262,0.46469968304278925,0.4635499207606973,0.3446426307448494,0.17502954397781298,0.0011497622820919229,676143.4617606407
Crypto,1320,661,661,0.3971565809379728,0.3903177004538578,0.3029841149773071,0.14853896180030257,0.006838880484114979,415164.2136012871
Uncategorized,1320,287,287,0.3762247386759582,0.3623693379790941,0.2869111498257839,0.14758225174216028,0.013855400696864114,210141.77275519175
Culture,1320,167,167,0.10090119760479042,0.11976047904191617,0.09580538922155689,0.04891301946107784,-0.018859281437125747,568767.208299137
Politics,1320,158,158,0.14998101265822783,0.1518987341772152,0.08163291139240506,0.03686811075949366,-0.0019177215189873386,2090647.4279143421
Technology,1320,97,97,0.1418917525773196,0.2268041237113402,0.18871649484536082,0.11882886855670104,-0.08491237113402061,327531.3654151449
Economy,1320,78,78,0.1191346153846154,0.1282051282051282,0.041224358974358964,0.021795407051282047,-0.009070512820512817,3800762.876816362
World,1320,27,27,0.10059259259259258,0.1111111111111111,0.12059259259259258,0.05996279629629628,-0.010518518518518517,5820820.331206614
Science,1320,2,2,0.068,0.0,0.068,0.008719999999999999,0.068,201680.56840049993
Sports,1380,1235,1235,0.46430040485829965,0.4631578947368421,0.34063076923076924,0.1728570777327935,0.0011425101214574951,683347.5433424142
Crypto,1380,555,555,0.3759846846846847,0.37117117117117115,0.26592342342342346,0.1293799481981982,0.0048135135135135175,465267.1658277492
