horizon_min,volume_bucket,bin_start,bin_end,bin_mid,n,mean_signed_isotonic_gap,mean_abs_isotonic_gap,decile_volume_min,decile_volume_max
30,Decile 6,0.1,0.2,0.15000000000000002,5,-0.07337272727272723,0.07337272727272723,144427.56546799996,164262.091244
30,Decile 6,0.2,0.30000000000000004,0.25,11,-0.06713904881295073,0.06713904881295073,144427.56546799996,164262.091244
30,Decile 6,0.3,0.4,0.35,9,-0.07977984755897236,0.07977984755897236,144427.56546799996,164262.091244
30,Decile 6,0.4,0.5,0.45,26,-0.028302718664626133,0.028302718664626133,144427.56546799996,164262.091244
30,Decile 6,0.5,0.6,0.55,495,0.0036090128119247882,0.003967826345645286,144427.56546799996,164262.091244
30,Decile 6,0.6,0.7,0.6499999999999999,5,0.04773684210526319,0.04773684210526319,144427.56546799996,164262.091244
30,Decile 6,0.7,0.7999999999999999,0.75,3,0.06000000000000002,0.06000000000000002,144427.56546799996,164262.091244
30,Decile 6,0.8,0.9,0.8500000000000001,1,0.053333333333333344,0.053333333333333344,144427.56546799996,164262.091244
30,Decile 6,0.9,1.0,0.95,27,-0.002537037037036984,0.002537037037036984,144427.56546799996,164262.091244
30,Decile 7,0.0,0.1,0.05,86,0.0016946873598564934,0.0019001937984496125,164286.5742180004,200257.3924129998
30,Decile 7,0.1,0.2,0.15000000000000002,8,-0.06227272727272724,0.06227272727272724,164286.5742180004,200257.3924129998
30,Decile 7,0.2,0.30000000000000004,0.25,14,-0.06576560143975875,0.06576560143975875,164286.5742180004,200257.3924129998
30,Decile 7,0.3,0.4,0.35,15,-0.07643958210132075,0.07643958210132075,164286.5742180004,200257.3924129998
30,Decile 7,0.4,0.5,0.45,33,-0.024158773501276026,0.024158773501276026,164286.5742180004,200257.3924129998
30,Decile 7,0.5,0.6,0.55,438,0.00360392501900437,0.004216648921802772,164286.5742180004,200257.3924129998
30,Decile 7,0.6,0.7,0.6499999999999999,13,0.07188798920377872,0.07188798920377872,164286.5742180004,200257.3924129998
30,Decile 7,0.7,0.7999999999999999,0.75,6,0.061388888888888916,0.061388888888888916,164286.5742180004,200257.3924129998
30,Decile 7,0.8,0.9,0.8500000000000001,2,0.049313725490196136,0.049313725490196136,164286.5742180004,200257.3924129998
30,Decile 7,0.9,1.0,0.95,22,-0.0032727272727272254,0.0032727272727272254,164286.5742180004,200257.3924129998
30,Decile 8,0.0,0.1,0.05,148,0.0015707558207558212,0.003381509461054916,200313.79869700025,303121.2360809998
30,Decile 8,0.1,0.2,0.15000000000000002,10,-0.07267532467532466,0.07267532467532466,200313.79869700025,303121.2360809998
30,Decile 8,0.2,0.30000000000000004,0.25,18,-0.06586775999697347,0.06586775999697347,200313.79869700025,303121.2360809998
