horizon_min,global_volume_bucket,mae,n,global_volume_min,global_volume_max
1200,Decile 5,0.354005,200,129249.27908200015,144070.52686999956
1200,Decile 6,0.3202671232876712,219,144338.91262200018,163903.887787
1200,Decile 7,0.29887678571428566,280,164018.97364100002,199565.025801
1200,Decile 8,0.25670875,400,200062.343618,300275.0529909999
1200,Decile 9,0.26543773584905656,530,300653.0830789996,621381.3452940036
1200,Decile 10 (highest),0.27834173913043475,575,621410.6510470011,172972056.63332495
1260,Decile 1 (lowest),0.3394897435897436,195,88455.09488600004,97646.906819
1260,Decile 2,0.33212303664921466,191,97705.75495699992,106856.02341400004
1260,Decile 3,0.3328115577889447,199,106964.79420899984,117080.93029499936
1260,Decile 4,0.33039361702127656,188,117146.826052,129156.34190499983
1260,Decile 5,0.33805084745762715,177,129249.27908200015,143980.54250499993
1260,Decile 6,0.3030678391959799,199,144338.91262200018,163903.887787
1260,Decile 7,0.2887462406015038,266,164018.97364100002,199565.025801
1260,Decile 8,0.25074230769230765,390,200062.343618,300275.0529909999
1260,Decile 9,0.2661261859582542,527,300653.0830789996,621381.3452940036
1260,Decile 10 (highest),0.2763029772329247,571,621410.6510470011,172972056.63332495
1320,Decile 1 (lowest),0.3190406976744186,172,88455.09488600004,97646.906819
1320,Decile 2,0.31515406976744187,172,97705.75495699992,106856.02341400004
1320,Decile 3,0.32004098360655736,183,106964.79420899984,117080.93029499936
1320,Decile 4,0.30820180722891566,166,117146.826052,129156.34190499983
1320,Decile 5,0.31033774834437083,151,129249.27908200015,143980.54250499993
1320,Decile 6,0.2849478021978022,182,144338.91262200018,163903.887787
1320,Decile 7,0.27741434262948206,251,164018.97364100002,199565.025801
1320,Decile 8,0.23902688172043007,372,200062.343618,300275.0529909999
1320,Decile 9,0.26490630975143403,523,300653.0830789996,621381.3452940036
1320,Decile 10 (highest),0.27643474426807757,567,621410.6510470011,172972056.63332495
1380,Decile 1 (lowest),0.304053125,160,88455.09488600004,97361.6700400001
1380,Decile 2,0.2917368421052632,152,97705.75495699992,106856.02341400004
1380,Decile 3,0.30487573964497044,169,106964.79420899984,117080.93029499936
1380,Decile 4,0.2921558441558441,154,117146.826052,129156.34190499983
1380,Decile 5,0.2776472868217054,129,129249.27908200015,143980.54250499993
1380,Decile 6,0.2631363636363636,165,144338.91262200018,163903.887787
1380,Decile 7,0.26335169491525423,236,164018.97364100002,199565.025801
1380,Decile 8,0.2226342857142857,350,200062.343618,300275.0529909999
1380,Decile 9,0.2593444227005871,511,300653.0830789996,621381.3452940036
1380,Decile 10 (highest),0.2744804618117229,563,621410.6510470011,172972056.63332495
1440,Decile 1 (lowest),0.2932516129032258,155,88455.09488600004,97361.6700400001
1440,Decile 2,0.28089930555555553,144,97705.75495699992,106856.02341400004
1440,Decile 3,0.2975185185185185,162,106964.79420899984,117080.93029499936
1440,Decile 4,0.28481756756756754,148,117146.826052,129156.34190499983
