category,horizon_min,n,n_unique_markets,raw_predicted_mean,calibrated_predicted_mean,observed_yes_rate,raw_mae,raw_brier,calibrated_mae,calibrated_brier,mean_signed_isotonic_gap,mean_abs_isotonic_gap,share_positive_isotonic_gap,mean_volume
Crypto,300,2733,2733,0.4749771313574826,0.4742041712403951,0.47420417124039516,0.4468245517746066,0.22276116419685327,0.4440469768714152,0.2220234884357076,0.0007729601170874431,0.005272541865789728,0.7500914745700695,205869.21820977444
Sports,300,1441,1441,0.4708504510756419,0.48230395558639827,0.4823039555863983,0.36269292158223454,0.18592445610687022,0.3636628028641905,0.18183140143209525,-0.011453504510756404,0.02941863137148293,0.3421235253296322,654924.6430424113
Uncategorized,300,827,827,0.4543089480048368,0.4425634824667472,0.44256348246674726,0.4197962515114873,0.21193687031438938,0.4144158913061395,0.20720794565306977,0.01174546553808957,0.022865420331776326,0.3966142684401451,159899.86229859001
Culture,300,173,173,0.11348554913294795,0.12138728323699421,0.12138728323699421,0.07748554913294795,0.03530779768786128,0.04804110468850353,0.024020552344251767,-0.007901734104046243,0.03454335260115607,0.8554913294797688,555106.6405986755
Politics,300,158,158,0.14524683544303799,0.1518987341772152,0.1518987341772152,0.06950632911392403,0.03422898734177215,0.057738095238095234,0.02886904761904762,-0.0066518987341772145,0.01755213984327908,0.7531645569620253,2090647.4279143417
Technology,300,97,97,0.14849484536082472,0.2268041237113402,0.2268041237113402,0.17848453608247422,0.11013053092783508,0.18531211056984254,0.09265605528492128,-0.07830927835051546,0.07917525773195877,0.3711340206185567,327531.3654151449
Economy,300,89,89,0.16625842696629214,0.16853932584269662,0.16853932584269662,0.09464044943820225,0.04838225280898877,0.08052434456928838,0.040262172284644196,-0.002280898876404492,0.021531835205992507,0.8314606741573034,3359638.341085194
World,300,27,27,0.08433333333333332,0.1111111111111111,0.1111111111111111,0.12562962962962962,0.07351572222222222,0.12345679012345678,0.061728395061728406,-0.026777777777777772,0.04203703703703704,0.7777777777777778,5820820.331206615
Science,300,2,2,0.06425,0.0,0.0,0.06425,0.007879625,0.0,0.0,0.06425,0.06425,1.0,201680.56840049993
Crypto,360,2598,2598,0.4740598537336412,0.4745958429561199,0.4745958429561201,0.445096805234796,0.2222711309661278,0.4432765054440948,0.2216382527220474,-0.0005359892224787632,0.00411181535147372,0.7486528098537336,209464.86747619114
