horizon_min,volume_bucket,n,mae,mean_staleness_min,median_staleness_min,p90_staleness_min,mean_volatility_std,mean_volatility_range,mean_horizon_count_used,decile_volume_min,decile_volume_max
600,Decile 8,457,0.27240371991247264,1227.359445660102,9.366666666666667,7701.203333333334,0.014657806380257994,0.05193107221006565,25.474835886214443,240456.3681529996,402653.2628330002
600,Decile 9,457,0.2917964989059081,913.875893508388,9.35,3591.3933333334435,0.026073053579600748,0.09752516411378556,26.315098468271334,403416.80333800014,788007.4828729996
600,Decile 10 (highest),458,0.2751069868995633,527.9906477438137,9.316666666666666,19.205,0.015557358476587783,0.05803056768558953,26.70524017467249,788232.8774610005,172972056.63332495
660,Decile 1 (lowest),441,0.4209308390022676,173.66432350718063,9.35,9.566666666666666,0.011170461852927124,0.04089909297052154,21.392290249433106,88436.76449999989,97951.1842529999
660,Decile 2,440,0.4194863636363636,287.3045833333333,9.366666666666667,9.583333333333334,0.006865222830296352,0.02493636363636364,21.545454545454547,97954.11940599995,108016.05593499972
660,Decile 3,440,0.4090829545454545,408.13689393939393,9.383333333333333,9.616666666666667,0.009622927142740592,0.03457045454545455,21.977272727272727,108023.4889210001,120269.91764799992
660,Decile 4,440,0.4097056818181818,546.1807196969697,9.4,9.583333333333334,0.005660930322724056,0.021222727272727275,21.615909090909092,120305.69362400024,135993.72559699992
660,Decile 5,441,0.4106950113378685,424.1051776266062,9.383333333333333,9.616666666666667,0.005615757735973884,0.021515873015873016,21.73015873015873,136005.93767299983,156400.72896699962
660,Decile 6,440,0.38639886363636367,538.5769318181818,9.383333333333333,9.616666666666667,0.007472712981188851,0.028703409090909092,22.55,156449.66564000002,188300.16786500005
660,Decile 7,440,0.3137931818181818,1165.0113257575758,9.416666666666666,7547.228333333335,0.012454293181990603,0.04514772727272728,24.28409090909091,188336.119941,248119.52099799996
660,Decile 8,440,0.2690818181818182,1142.1219696969697,9.383333333333333,7457.213333333338,0.015762391070973804,0.056179545454545454,25.913636363636364,248884.878183,417092.7476779996
660,Decile 9,440,0.2865329545454545,900.235303030303,9.383333333333333,2562.323333333407,0.0269953894578575,0.10023977272727272,26.48409090909091,417746.51305999927,806600.3579200017
660,Decile 10 (highest),441,0.2746972789115646,524.5179138321995,9.383333333333333,9.616666666666667,0.014952210593552725,0.05655895691609978,26.773242630385486,806990.4095559991,172972056.63332495
720,Decile 1 (lowest),424,0.4162853773584906,178.5490172955975,9.35,9.55,0.011946627253307791,0.043387971698113204,21.983490566037737,88436.76449999989,98283.85311900004
720,Decile 2,424,0.4140507075471698,295.5185534591195,9.375,9.55,0.006900952459236523,0.025686320754716982,22.117924528301888,98318.60673100014,108665.15323099974
720,Decile 3,424,0.4039304245283019,439.5652908805031,9.366666666666667,9.578333333333333,0.010263637511194653,0.03688325471698113,22.382075471698112,108691.2923019999,121512.1480029997
720,Decile 4,424,0.4023419811320754,580.2013757861636,9.383333333333333,9.583333333333334,0.006635471344389696,0.025086084905660378,22.43632075471698,121541.09607099954,137630.0209789996
720,Decile 5,424,0.4025117924528302,463.0569182389937,9.383333333333333,9.583333333333334,0.0045949495008062976,0.017656839622641512,22.03301886792453,137667.84533399984,158616.34742299982
720,Decile 6,424,0.3715754716981132,691.5341194968554,9.4,9.616666666666667,0.008979628039309758,0.03391627358490566,23.31132075471698,158630.90700199956,192919.329442
720,Decile 7,424,0.3077063679245283,1148.2998820754717,9.4,7573.416666666666,0.012153289128953554,0.04405306603773585,24.544811320754718,192977.85709999988,262579.23607300007
720,Decile 8,424,0.25777240566037735,1065.891037735849,9.375,7064.231666666664,0.017018591432135348,0.06116627358490566,26.16745283018868,262892.377741,437908.3160499996
720,Decile 9,424,0.29559080188679243,910.8007075471698,9.366666666666667,4440.463333333297,0.026534964192239,0.09883608490566038,26.53066037735849,438614.8761360003,831904.7844009999
720,Decile 10 (highest),424,0.27468750000000003,514.6739779874214,9.383333333333333,9.6,0.015178764922464425,0.05733136792452831,26.766509433962263,832251.2136810008,172972056.63332495
780,Decile 1 (lowest),411,0.4093552311435523,221.83004866180048,9.366666666666667,9.616666666666667,0.012688057443394383,0.046012165450121656,22.535279805352797,88437.42444700007,98655.67740600005
780,Decile 2,410,0.4093560975609756,341.39219512195126,9.391666666666666,9.633333333333333,0.007766510423648574,0.02873780487804878,22.614634146341462,98677.79200199986,109252.61061299988
780,Decile 3,411,0.40191605839416056,409.8876723438768,9.383333333333333,9.633333333333333,0.00988515065236335,0.03587469586374696,22.67396593673966,109260.65065399976,122457.71500600011
780,Decile 4,410,0.3961987804878049,579.904918699187,9.4,9.668333333333333,0.006843530483831291,0.02564268292682927,22.882926829268293,122535.02805799992,139202.78667299985
780,Decile 5,411,0.39312165450121656,521.5944444444444,9.4,9.65,0.005338165235461352,0.020962287104622872,22.712895377128955,139223.44199499948,161654.65302799968
780,Decile 6,410,0.3620414634146341,826.6166260162602,9.433333333333334,2837.4266666666795,0.009718136886626979,0.035320731707317074,23.71219512195122,161699.7113899996,197819.1793090006
780,Decile 7,410,0.29820853658536584,1114.8382113821137,9.4,7501.216666666667,0.012500847129943204,0.04656707317073171,24.807317073170733,198024.65649500024,274563.17174700013
780,Decile 8,411,0.25774574209245743,1018.5290348742903,9.4,6719.633333333333,0.017508412715492253,0.06200486618004867,26.282238442822383,274615.73146899947,456201.4541629996
780,Decile 9,410,0.3007963414634146,901.5752032520325,9.391666666666666,2453.271666666743,0.02673492345713117,0.10083048780487805,26.524390243902438,456573.6833619997,865917.6856070015
780,Decile 10 (highest),411,0.27349878345498785,507.22372262773723,9.383333333333333,19.133333333333333,0.015038471508280988,0.05629440389294404,26.759124087591243,866068.6099170005,172972056.63332495
840,Decile 1 (lowest),396,0.40558585858585855,227.4712542087542,9.3,9.616666666666667,0.013399028108749399,0.04863383838383838,22.977272727272727,88437.42444700007,98856.11014199998
840,Decile 2,396,0.4024810606060606,370.43594276094274,9.383333333333333,9.633333333333333,0.00859655196126635,0.031348484848484855,23.265151515151516,98898.36649399994,110092.96475399996
840,Decile 3,396,0.3889217171717172,534.2945707070706,9.341666666666667,9.633333333333333,0.010032438170865455,0.03703409090909091,23.310606060606062,110093.95278400031,124101.774274
840,Decile 4,395,0.39731645569620255,499.4363713080169,9.366666666666667,9.626666666666667,0.007441643394291048,0.02780632911392405,23.2,124133.521961,141563.63517099977
840,Decile 5,396,0.3868042929292929,596.2695286195286,9.4,9.666666666666666,0.004909048676996324,0.01922979797979798,23.161616161616163,141644.2596690001,165236.29622600003
